marca,name,price,link,image,scraped_at
marca_79,Sleeve Gamegenic - Padrão - Luke Skywalker Art (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129499&prod=Sleeve Gamegenic - Padrão - Luke Skywalker Art (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707480877_9655.jpg,2025-12-15T11:49:42.608956
marca_79,Sleeve Gamegenic - Padrão - Moff Gideon (Star Wars Unlimited),47.92,https://www.ligaswu.com.br/?view=prod/view&pcode=131996&prod=Sleeve Gamegenic - Padrão - Moff Gideon (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726769585_5024.jpg,2025-12-15T11:49:42.608956
marca_79,Sleeve Gamegenic - Padrão - Obi-Wan Kenobi (Star Wars Unlimited),51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=132432&prod=Sleeve Gamegenic - Padrão - Obi-Wan Kenobi (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731093185_191.jpg,2025-12-15T11:49:44.720642
marca_79,Sleeve Gamegenic - Padrão - Rey (Star Wars Unlimited),50.00,https://www.ligaswu.com.br/?view=prod/view&pcode=131997&prod=Sleeve Gamegenic - Padrão - Rey (Star Wars Unlimited),https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726770923_1482.jpg,2025-12-15T11:49:44.721297
marca_79,Sleeve Gamegenic - Padrão - Verso Amarelo,49.90,https://www.ligaswu.com.br/?view=prod/view&pcode=132000&prod=Sleeve Gamegenic - Padrão - Verso Amarelo,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726774339_2960.jpg,2025-12-15T11:49:44.721297
marca_79,Sleeve Gamegenic - Padrão - Verso Azul,55.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129500&prod=Sleeve Gamegenic - Padrão - Verso Azul,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707481227_774.jpg,2025-12-15T11:49:44.722298
marca_79,Sleeve Gamegenic - Padrão - Verso Branco,51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=132434&prod=Sleeve Gamegenic - Padrão - Verso Branco,https://repositorio.sbrauble.com/arquivos/up/prod/20241111/1731328005_3948.jpg,2025-12-15T11:49:44.722298
marca_79,Sleeve Gamegenic - Padrão - Verso Preto,51.99,https://www.ligaswu.com.br/?view=prod/view&pcode=132435&prod=Sleeve Gamegenic - Padrão - Verso Preto,https://repositorio.sbrauble.com/arquivos/up/prod/20241111/1731328349_3799.jpg,2025-12-15T11:49:44.722298
marca_79,Sleeve Gamegenic - Padrão - Verso Verde,49.90,https://www.ligaswu.com.br/?view=prod/view&pcode=131999&prod=Sleeve Gamegenic - Padrão - Verso Verde,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726773942_5555.jpg,2025-12-15T11:49:44.723298
marca_79,Sleeve Gamegenic - Padrão - Verso Vermelho,64.90,https://www.ligaswu.com.br/?view=prod/view&pcode=129501&prod=Sleeve Gamegenic - Padrão - Verso Vermelho,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707481345_6500.jpg,2025-12-15T11:49:44.723298
